# nederlands	frans	engels	duits	spaans
Je verkoper hoeft niet meer door de lijst te scrollen voor een vraag die drie keer per dag terugkomt.	Votre vendeur n'a plus à parcourir la liste pour une question qui revient trois fois par jour.	Your salesperson no longer has to scroll through the list for a question that comes back three times a day.	Ihr Verkäufer muss nicht mehr die Liste durchscrollen für eine Frage, die dreimal am Tag wiederkommt.	Tu vendedor ya no tiene que recorrer la lista por una pregunta que vuelve tres veces al día.
Je verkoper krijgt de vraag pas te horen als de koper al is afgehaakt.	Votre vendeur n'entend la question qu'une fois l'acheteur déjà parti.	Your salesperson only hears the question once the buyer has already dropped out.	Ihr Verkäufer erfährt die Frage erst, wenn der Käufer schon abgesprungen ist.	Tu vendedor se entera de la pregunta cuando el comprador ya se ha ido.
Je verkoper krijgt een dossier	Votre vendeur reçoit un dossier	Your salesperson gets a file	Ihr Verkäufer bekommt eine Akte	Tu vendedor recibe un expediente
Je verkoper krijgt een dossier met de juiste wagen erin.	Votre vendeur reçoit un dossier contenant le bon véhicule.	Your salesperson gets a file with the right vehicle in it.	Ihr Verkäufer bekommt eine Akte mit dem richtigen Fahrzeug darin.	Tu vendedor recibe un expediente con el vehículo correcto dentro.
Je verkoper krijgt het dossier binnen.	Votre vendeur reçoit le dossier.	Your salesperson receives the file.	Ihr Verkäufer bekommt die Akte herein.	Tu vendedor recibe el expediente.
Je verkoper leest elk gesprek mee en stapt er op elk moment in. Het gesprek gaat door waar het was, de koper merkt geen knip.	Votre vendeur suit chaque conversation et y entre à tout moment. La conversation reprend où elle en était, l'acheteur ne remarque aucune coupure.	Your salesperson reads along with every conversation and steps in at any moment. The conversation continues where it was, the buyer notices no break.	Ihr Verkäufer liest jedes Gespräch mit und steigt jederzeit ein. Das Gespräch geht dort weiter, wo es war, der Käufer merkt keinen Schnitt.	Tu vendedor lee cada conversación y entra cuando quiere. La conversación sigue donde estaba, el comprador no nota ningún corte.
Je verkoper leest mee	Votre vendeur suit	Your salesperson reads along	Ihr Verkäufer liest mit	Tu vendedor lee
Je verkoper loopt een proefrit uit met een klant. Ondertussen komen er twee berichten via de site binnen en één via WhatsApp.	Votre vendeur accompagne un essai avec un client. Pendant ce temps, deux messages arrivent via le site et un via WhatsApp.	Your salesperson is out on a test drive with a customer. Meanwhile two messages come in through the site and one via WhatsApp.	Ihr Verkäufer ist mit einem Kunden auf Probefahrt. Inzwischen kommen zwei Nachrichten über die Website und eine über WhatsApp.	Tu vendedor está haciendo una prueba con un cliente. Mientras tanto entran dos mensajes por la web y uno por WhatsApp.
Je verkoper moet ter plekke schatten, en dat kost hem marge of de klant.	Votre vendeur doit estimer sur place, et cela lui coûte de la marge ou le client.	Your salesperson has to estimate on the spot, and that costs them margin or the customer.	Ihr Verkäufer muss vor Ort schätzen, und das kostet ihn Marge oder den Kunden.	Tu vendedor tiene que tasar sobre la marcha, y eso le cuesta margen o el cliente.
Je verkoper neemt over	Votre vendeur reprend la main	Your salesperson takes over	Ihr Verkäufer übernimmt	Tu vendedor toma el relevo
