# nederlands	frans	engels	duits	spaans
Thomas Peeters	Thomas Peeters	Thomas Peeters	Thomas Peeters	Thomas Peeters
Toegang tot je website om één regel te plaatsen	Un accès à votre site pour y placer une ligne	Access to your website to place one line	Zugang zu Ihrer Website, um eine Zeile einzufügen	Acceso a tu web para poner una línea
Transmissie	Transmission	Transmission	Getriebe	Cambio
Trekhaak, onderhoudshistoriek, garantie, eerste eigenaar. Wat in de gegevens staat, wordt beantwoord. Wat er niet in staat, gaat naar een verkoper.	Attelage, historique d'entretien, garantie, première main. Ce qui figure dans les données reçoit une réponse. Ce qui n'y figure pas part vers un vendeur.	Towbar, service history, warranty, first owner. What is in the data gets answered. What is not goes to a salesperson.	Anhängerkupplung, Wartungshistorie, Garantie, Erstbesitzer. Was in den Daten steht, wird beantwortet. Was nicht drinsteht, geht an einen Verkäufer.	Enganche, historial de mantenimiento, garantía, primer propietario. Lo que está en los datos se responde. Lo que no, va a un vendedor.
Tussen "ik denk erover na" en een nee zit ruimte. Die ruimte gebruikt bijna niemand.	Entre « j'y réfléchis » et un non, il y a de la marge. Presque personne n'utilise cette marge.	Between "I'll think about it" and a no there is room. Almost nobody uses that room.	Zwischen „ich denke darüber nach" und einem Nein liegt Raum. Diesen Raum nutzt fast niemand.	Entre «me lo pienso» y un no hay espacio. Casi nadie usa ese espacio.
Tussen "ik wil eens rijden" en een datum zitten te veel stappen.	Entre « j'aimerais l'essayer » et une date, il y a trop d'étapes.	Between "I'd like a drive" and a date there are too many steps.	Zwischen „ich würde gern fahren" und einem Datum liegen zu viele Schritte.	Entre «me gustaría probarlo» y una fecha hay demasiados pasos.
Tussen je koper en je verkoper	Entre votre acheteur et votre vendeur	Between your buyer and your salesperson	Zwischen Ihrem Käufer und Ihrem Verkäufer	Entre tu comprador y tu vendedor
Twee kanalen en de opvolging die eraan vastzit. Op alle drie hetzelfde dossier en dezelfde wagen.	Deux canaux et le suivi qui y est rattaché. Sur les trois, le même dossier et le même véhicule.	Two channels and the follow-up attached to them. On all three the same file and the same vehicle.	Zwei Kanäle und das Nachfassen, das daran hängt. Auf allen dreien dieselbe Akte und dasselbe Fahrzeug.	Dos canales y el seguimiento que va unido a ellos. En los tres, el mismo expediente y el mismo vehículo.
Twee momenten voorstellen	Proposer deux créneaux	Proposing two slots	Zwei Termine vorschlagen	Proponer dos huecos
Twee wagens, één afspraak	Deux véhicules, un rendez-vous	Two vehicles, one appointment	Zwei Fahrzeuge, ein Termin	Dos vehículos, una cita
Twijfel is geen afwijzing	L'hésitation n'est pas un refus	Doubt is not a rejection	Zweifel ist keine Absage	La duda no es un no
Twintig minuten op je eigen cijfers. We kijken wat er binnenkomt via je site, WhatsApp en mail, en wat ermee gebeurt. Je gaat weg met een eerste werkstroom, of met de reden waarom het bij jou niet past.	Vingt minutes sur vos propres chiffres. Nous regardons ce qui arrive via votre site, WhatsApp et le courriel, et ce qu'il en advient. Vous repartez avec un premier flux, ou avec la raison pour laquelle cela ne vous convient pas.	Twenty minutes on your own numbers. We look at what comes in through your site, WhatsApp and email, and what happens to it. You leave with a first workflow, or with the reason it does not fit you.	Zwanzig Minuten mit Ihren eigenen Zahlen. Wir schauen, was über Ihre Website, WhatsApp und Mail hereinkommt und was damit passiert. Sie gehen mit einem ersten Ablauf oder mit dem Grund, warum es bei Ihnen nicht passt.	Veinte minutos con tus propias cifras. Miramos qué entra por tu web, WhatsApp y correo, y qué pasa con ello. Te vas con un primer flujo, o con la razón por la que no te encaja.
Twintig minuten over wat er bij jou binnenkomt, hoe snel het beantwoord wordt en waar het blijft liggen. Geen verkooppraatje, wel cijfers.	Vingt minutes sur ce qui arrive chez vous, la vitesse de réponse et l'endroit où cela traîne. Pas de discours commercial, mais des chiffres.	Twenty minutes on what comes in at your business, how fast it gets answered and where it sits. No sales pitch, but numbers.	Zwanzig Minuten darüber, was bei Ihnen hereinkommt, wie schnell es beantwortet wird und wo es liegen bleibt. Kein Verkaufsgespräch, aber Zahlen.	Veinte minutos sobre qué entra en tu empresa, con qué rapidez se responde y dónde se queda. Sin discurso comercial, con cifras.
Twintig minuten, op je eigen aanvragen.	Vingt minutes, sur vos propres demandes.	Twenty minutes, on your own enquiries.	Zwanzig Minuten, mit Ihren eigenen Anfragen.	Veinte minutos, con tus propias solicitudes.
Uit de beschikbaarheid die jij aanlevert. Nooit een moment noemen waarvan het systeem niet weet of het vrij is.	À partir de la disponibilité que vous fournissez. Ne jamais citer un créneau dont le système ignore s'il est libre.	From the availability you supply. Never name a slot the system does not know is free.	Aus der Verfügbarkeit, die Sie liefern. Nie einen Termin nennen, von dem das System nicht weiß, ob er frei ist.	De la disponibilidad que tú facilitas. Nunca decir un hueco del que el sistema no sabe si está libre.
Uit de link, het advertentienummer of de omschrijving. Is het niet eenduidig, dan wordt er teruggevraagd.	À partir du lien, du numéro d'annonce ou de la description. Si ce n'est pas clair, une question est posée en retour.	From the link, the advert number or the description. If it is not unambiguous, a question comes back.	Aus dem Link, der Anzeigennummer oder der Beschreibung. Ist es nicht eindeutig, wird zurückgefragt.	Del enlace, el número de anuncio o la descripción. Si no es inequívoco, se vuelve a preguntar.
Uit een link, een advertentienummer of een omschrijving. Is het niet eenduidig, dan wordt er doorgevraagd in plaats van geraden.	À partir d'un lien, d'un numéro d'annonce ou d'une description. Si ce n'est pas clair, on creuse au lieu de deviner.	From a link, an advert number or a description. If it is not unambiguous, further questions follow instead of guessing.	Aus einem Link, einer Anzeigennummer oder einer Beschreibung. Ist es nicht eindeutig, wird nachgefragt statt geraten.	De un enlace, un número de anuncio o una descripción. Si no es inequívoco, se pregunta en lugar de adivinar.
Uit je voorraad	Issu de votre stock	From your stock	Aus Ihrem Bestand	De tu stock
