# nederlands	frans	engels	duits	spaans
Een systeem dat met je kopers praat, moet je kunnen nalezen, overnemen en stilzetten. Dit zijn de afspraken die vastliggen voor we starten, en waar je gegevens blijven.	Un système qui parle à vos acheteurs doit pouvoir être relu, repris en main et arrêté. Voici les engagements fixés avant de commencer, et l'endroit où vos données restent.	A system that talks to your buyers has to be readable, take-over-able and stoppable. These are the agreements fixed before we start, and where your data stays.	Ein System, das mit Ihren Käufern spricht, müssen Sie nachlesen, übernehmen und stoppen können. Das sind die Vereinbarungen, die vor dem Start feststehen, und wo Ihre Daten bleiben.	Un sistema que habla con tus compradores tiene que poder leerse, relevarse y pararse. Estos son los acuerdos fijados antes de empezar, y dónde se quedan tus datos.
Een systeem dat zelfstandig met kopers praat zonder dat je ziet wat er gebeurt, dat is precies wat we niet bouwen. Zes afspraken die vastliggen voor we starten.	Un système qui parle seul aux acheteurs sans que vous voyiez ce qui se passe, c'est précisément ce que nous ne construisons pas. Six engagements fixés avant de commencer.	A system that talks to buyers on its own without you seeing what happens is exactly what we do not build. Six agreements fixed before we start.	Ein System, das eigenständig mit Käufern spricht, ohne dass Sie sehen, was passiert, ist genau das, was wir nicht bauen. Sechs Vereinbarungen, die vor dem Start feststehen.	Un sistema que habla solo con los compradores sin que veas qué pasa es justo lo que no construimos. Seis acuerdos fijados antes de empezar.
Een vast zakelijk nummer dat bij jouw bedrijf hoort, niet de privételefoon van één verkoper. Dat nummer blijft hetzelfde, je collega's kunnen erbij en de gesprekken blijven staan als iemand op vakantie is of vertrekt.	Un numéro professionnel fixe qui appartient à votre entreprise, pas le portable privé d'un vendeur. Ce numéro ne change pas, vos collègues y ont accès et les conversations restent quand quelqu'un est en congé ou s'en va.	A fixed business number that belongs to your company, not one salesperson's private phone. That number stays the same, your colleagues can reach it and the conversations remain when someone is on holiday or leaves.	Eine feste geschäftliche Nummer, die zu Ihrem Betrieb gehört, nicht das Privathandy eines Verkäufers. Diese Nummer bleibt gleich, Ihre Kollegen kommen dran und die Gespräche bleiben, wenn jemand im Urlaub ist oder geht.	Un número profesional fijo que pertenece a tu empresa, no el móvil privado de un vendedor. Ese número no cambia, tus compañeros pueden acceder y las conversaciones se quedan si alguien está de vacaciones o se va.
Een volledige voorraadmodule op je site vervangen	Remplacer tout un module de stock sur votre site	Replacing a full stock module on your site	Ein komplettes Bestandsmodul auf Ihrer Website ersetzen	Sustituir un módulo de stock completo en tu web
Een voorraadbestand dat je aanlevert, periodiek ververst	Un fichier de stock que vous fournissez, actualisé périodiquement	A stock file you supply, refreshed periodically	Eine Bestandsdatei, die Sie liefern, regelmäßig aktualisiert	Un archivo de stock que entregas, actualizado periódicamente
Een voorraadbestand of de feed die je al gebruikt	Un fichier de stock ou le flux que vous utilisez déjà	A stock file or the feed you already use	Eine Bestandsdatei oder der Feed, den Sie schon nutzen	Un archivo de stock o el feed que ya usas
Een wagen die weg is, wordt niet meer aangeboden. Dat scheelt de vervelendste mail die je kunt sturen.	Un véhicule parti n'est plus proposé. Cela évite le courriel le plus désagréable que vous puissiez envoyer.	A vehicle that is gone is no longer offered. That saves you the most awkward email you can send.	Ein Fahrzeug, das weg ist, wird nicht mehr angeboten. Das erspart Ihnen die unangenehmste Mail, die es gibt.	Un vehículo que ya no está deja de ofrecerse. Eso te ahorra el correo más incómodo que puedes enviar.
Een wagen reserveren of de status ervan wijzigen	Réserver un véhicule ou en modifier le statut	Reserving a vehicle or changing its status	Ein Fahrzeug reservieren oder seinen Status ändern	Reservar un vehículo o cambiar su estado
Een zakelijk WhatsApp-nummer, of wij regelen er een	Un numéro WhatsApp professionnel, ou nous en obtenons un	A business WhatsApp number, or we arrange one	Eine geschäftliche WhatsApp-Nummer, oder wir besorgen eine	Un número de WhatsApp profesional, o te lo conseguimos
Een zakelijk nummer wel. Een privénummer van een verkoper niet, en dat is maar goed ook.	Un numéro professionnel, oui. Le numéro privé d'un vendeur, non, et c'est tant mieux.	A business number, yes. A salesperson's private number, no, and that is just as well.	Eine geschäftliche Nummer ja. Die Privatnummer eines Verkäufers nicht, und das ist auch gut so.	Un número profesional sí. El número privado de un vendedor no, y menos mal.
Een zoekfilter is geen verkoper.	Un filtre de recherche n'est pas un vendeur.	A search filter is not a salesperson.	Ein Suchfilter ist kein Verkäufer.	Un filtro de búsqueda no es un vendedor.
Eerst kijken of de wagen vrij is, dan pas een moment	D'abord vérifier que le véhicule est libre, ensuite seulement un créneau	First check the vehicle is free, only then a slot	Erst prüfen, ob das Fahrzeug frei ist, dann erst ein Termin	Primero mirar si el vehículo está libre, y solo después un hueco
Eerst kijken of het kan, dan pas een moment noemen.	D'abord vérifier que c'est possible, ensuite seulement proposer un créneau.	First check whether it is possible, only then name a slot.	Erst prüfen, ob es geht, dann erst einen Termin nennen.	Primero mirar si se puede, y solo después decir una hora.
Eerst nakijken of de wagen vrij is, dan pas een moment noemen. Met bevestiging, herinnering en de wagen aan de afspraak.	D'abord vérifier que le véhicule est libre, ensuite seulement proposer un créneau. Avec confirmation, rappel et le véhicule rattaché au rendez-vous.	First check whether the vehicle is free, only then name a slot. With confirmation, reminder and the vehicle attached to the appointment.	Erst nachsehen, ob das Fahrzeug frei ist, dann erst einen Termin nennen. Mit Bestätigung, Erinnerung und dem Fahrzeug am Termin.	Primero comprobar si el vehículo está libre, y solo después decir una hora. Con confirmación, recordatorio y el vehículo unido a la cita.
Elke aanvraag krijgt binnen minuten een antwoord, ook die van kwart over acht ’s avonds.	Chaque demande reçoit une réponse en quelques minutes, y compris celle de vingt heures quinze.	Every enquiry gets an answer within minutes, including the one at a quarter past eight in the evening.	Jede Anfrage bekommt binnen Minuten eine Antwort, auch die von viertel nach acht abends.	Cada solicitud recibe respuesta en minutos, también la de las ocho y cuarto de la tarde.
Elke aanvraag krijgt een afloop	Chaque demande a une issue	Every enquiry gets an ending	Jede Anfrage bekommt einen Ausgang	Cada solicitud tiene un desenlace
Elke verkoper kan meelezen en overnemen.	Chaque vendeur peut suivre et reprendre la main.	Every salesperson can read along and take over.	Jeder Verkäufer kann mitlesen und übernehmen.	Cualquier vendedor puede leer y tomar el relevo.
Elke werkstroom, elk gesprek, elke wagen. Je leest live mee en je verkoper neemt op elk moment over.	Chaque flux, chaque conversation, chaque véhicule. Vous suivez en direct et votre vendeur reprend la main à tout moment.	Every workflow, every conversation, every vehicle. You read along live and your salesperson takes over at any moment.	Jeder Ablauf, jedes Gespräch, jedes Fahrzeug. Sie lesen live mit und Ihr Verkäufer übernimmt jederzeit.	Cada flujo, cada conversación, cada vehículo. Lees en directo y tu vendedor toma el relevo en cualquier momento.
En dit is precies het soort koper dat nog niet aan één bedrijf vastzit. Wie hem helpt kiezen, verkoopt.	Et c'est exactement le genre d'acheteur qui n'est encore lié à aucune entreprise. Celui qui l'aide à choisir vend.	And this is exactly the kind of buyer not yet tied to one business. Whoever helps them choose, sells.	Und das ist genau die Art Käufer, die noch an keinen Betrieb gebunden ist. Wer ihm bei der Wahl hilft, verkauft.	Y este es exactamente el tipo de comprador que aún no está atado a ninguna empresa. Quien le ayuda a elegir, vende.
En kan ik er zaterdag mee rijden?	Et je peux l'essayer samedi ?	And can I drive it on Saturday?	Und kann ich ihn am Samstag fahren?	¿Y puedo probarlo el sábado?
En trekhaak?	Et un attelage ?	And a towbar?	Und Anhängerkupplung?	¿Y enganche de remolque?
Er is geen dossier, geen overzicht en geen overdracht. Wat er is afgesproken staat in een chat waar niemand anders bij kan.	Il n'y a pas de dossier, pas de vue d'ensemble, pas de passation. Ce qui a été convenu se trouve dans une conversation à laquelle personne d'autre n'a accès.	There is no file, no overview and no handover. What was agreed sits in a chat nobody else can reach.	Es gibt keine Akte, keine Übersicht und keine Übergabe. Was vereinbart wurde, steht in einem Chat, an den niemand sonst kommt.	No hay expediente, ni visión de conjunto, ni traspaso. Lo acordado está en un chat al que nadie más puede acceder.
Er is geen eigenaar. Iedereen denkt dat iemand anders het wel oppakt, en dat is precies wat er niet gebeurt.	Il n'y a pas de responsable. Chacun pense qu'un autre s'en occupera, et c'est précisément ce qui n'arrive pas.	There is no owner. Everyone assumes someone else will pick it up, and that is exactly what does not happen.	Es gibt keinen Verantwortlichen. Jeder denkt, ein anderer kümmert sich, und genau das passiert nicht.	No hay un responsable. Todos creen que ya lo cogerá otro, y eso es justo lo que no ocurre.
Er komt "daar bellen we u over terug". Dat gebeurt twee dagen later, of niet.	On répond « on vous rappelle à ce sujet ». Cela arrive deux jours plus tard, ou pas du tout.	The answer is "we'll call you back about that". Which happens two days later, or not at all.	Es heißt „da rufen wir Sie zurück". Das passiert zwei Tage später, oder gar nicht.	La respuesta es «ya le llamamos por eso». Y pasa dos días después, o no pasa.
