# nederlands	frans	engels	duits	spaans
2021 · 82.000 km · automaat · € 48.900	2021 · 82 000 km · boîte automatique · 48 900 €	2021 · 82,000 km · automatic · €48,900	2021 · 82.000 km · Automatik · 48.900 €	2021 · 82.000 km · automático · 48.900 €
Alleen wat er in de mail staat. Wat hij niet schrijft, wordt niet ingevuld.	Uniquement ce qui figure dans le courriel. Ce qu'il n'écrit pas n'est pas complété.	Only what the email says. What they do not write is not filled in.	Nur was in der Mail steht. Was er nicht schreibt, wird nicht ergänzt.	Solo lo que pone en el correo. Lo que no escribe no se rellena.
Anders schrijven	Réécrire	Rewrite	Anders schreiben	Reescribir
Audi A4 · 2018	Audi A4 · 2018	Audi A4 · 2018	Audi A4 · 2018	Audi A4 · 2018
Begint hij op je site en gaat hij verder op WhatsApp, dan is dat dezelfde koper met dezelfde wagen.	S'il commence sur votre site et poursuit sur WhatsApp, c'est le même acheteur avec le même véhicule.	If they start on your site and continue on WhatsApp, that is the same buyer with the same vehicle.	Beginnt er auf Ihrer Website und macht auf WhatsApp weiter, ist das derselbe Käufer mit demselben Fahrzeug.	Si empieza en tu web y sigue por WhatsApp, es el mismo comprador con el mismo vehículo.
Beschikbaarheid	Disponibilité	Availability	Verfügbarkeit	Disponibilidad
De ideeën komen uit je voorraad en uit wat kopers deze week gevraagd hebben. Niet uit een algemene contentkalender.	Les idées viennent de votre stock et de ce que les acheteurs ont demandé cette semaine. Pas d'un calendrier de contenu générique.	The ideas come from your stock and from what buyers asked this week. Not from a generic content calendar.	Die Ideen kommen aus Ihrem Bestand und aus dem, was Käufer diese Woche gefragt haben. Nicht aus einem allgemeinen Contentkalender.	Las ideas salen de tu stock y de lo que han preguntado los compradores esta semana. No de un calendario de contenidos genérico.
Drie kanalen, één klantdossier	Trois canaux, un seul dossier client	Three channels, one customer file	Drei Kanäle, eine Kundenakte	Tres canales, un solo expediente de cliente
Elke wagen die binnenkomt is een bericht dat je had kunnen plaatsen. Faro weet wat er op je terrein staat en stelt voor wat je ermee kunt doen. Jij kiest, jij plaatst.	Chaque véhicule qui arrive est une publication que vous auriez pu faire. Faro sait ce qui se trouve sur votre parc et propose ce que vous pouvez en faire. Vous choisissez, vous publiez.	Every vehicle that arrives is a post you could have made. Faro knows what is on your forecourt and suggests what you can do with it. You choose, you post.	Jedes Fahrzeug, das hereinkommt, ist ein Beitrag, den Sie hätten machen können. Faro weiß, was auf Ihrem Hof steht, und schlägt vor, was Sie damit machen können. Sie wählen, Sie posten.	Cada vehículo que entra es una publicación que podrías haber hecho. Faro sabe lo que hay en tu terreno y propone qué puedes hacer con ello. Tú eliges, tú publicas.
Er wordt niets geplaatst zonder dat jij het gelezen hebt. De gegevens in de tekst komen uit je voorraad, niet uit een schatting.	Rien n'est publié sans que vous l'ayez lu. Les données du texte viennent de votre stock, pas d'une estimation.	Nothing gets posted without you having read it. The data in the text comes from your stock, not from an estimate.	Es wird nichts veröffentlicht, ohne dass Sie es gelesen haben. Die Daten im Text kommen aus Ihrem Bestand, nicht aus einer Schätzung.	No se publica nada sin que lo hayas leído. Los datos del texto salen de tu stock, no de una estimación.
Eruit gehaald	Extrait	Pulled out	Herausgeholt	Extraído
Faro · vandaag	Faro · aujourd'hui	Faro · today	Faro · heute	Faro · hoy
Golf GTI · 2022	Golf GTI · 2022	Golf GTI · 2022	Golf GTI · 2022	Golf GTI · 2022
Inkomende mail	Courriel entrant	Incoming email	Eingehende Mail	Correo entrante
Interesse in BMW X5	Intérêt pour le BMW X5	Interested in the BMW X5	Interesse an BMW X5	Interés en el BMW X5
Je voorraad is ook	Votre stock, c'est aussi	Your stock is also	Ihr Bestand ist auch	Tu stock también es
