# nederlands	frans	engels	duits	spaans
Foto's beide kanten op	Des photos dans les deux sens	Photos both ways	Fotos in beide Richtungen	Fotos en los dos sentidos
Foto's ontvangen en versturen	Recevoir et envoyer des photos	Receiving and sending photos	Fotos empfangen und senden	Recibir y enviar fotos
Foto’s beide kanten op	Des photos dans les deux sens	Photos both ways	Fotos in beide Richtungen	Fotos en los dos sentidos
Foto’s erbij	Avec les photos	Photos attached	Mit Fotos	Con fotos
Foto’s verstuurd	Photos envoyées	Photos sent	Fotos gesendet	Fotos enviadas
Foto’s zijn geen gedoe	Les photos ne sont pas une corvée	Photos are no hassle	Fotos sind kein Aufwand	Las fotos no son un engorro
Gebouwd voor het autobedrijf	Conçu pour la concession	Built for the dealership	Gebaut für das Autohaus	Hecho para el concesionario
Geen "heb je al nagedacht", maar iets dat hem verder helpt. De wagen staat er nog, of er zijn extra foto’s.	Pas de « vous y avez réfléchi ? », mais quelque chose qui l'aide à avancer. Le véhicule est toujours là, ou il y a de nouvelles photos.	Not "have you thought about it yet", but something that helps them along. The vehicle is still there, or there are extra photos.	Kein „haben Sie schon nachgedacht", sondern etwas, das ihn weiterbringt. Das Fahrzeug steht noch da, oder es gibt zusätzliche Fotos.	Nada de «¿ya te lo has pensado?», sino algo que le ayude a avanzar. El vehículo sigue ahí, o hay fotos nuevas.
Geen "neem gerust contact op", maar twee concrete momenten waarop de wagen en iemand van je team beschikbaar zijn.	Pas de « n'hésitez pas à nous contacter », mais deux créneaux concrets où le véhicule et quelqu'un de votre équipe sont disponibles.	Not "feel free to get in touch", but two concrete slots when the vehicle and someone from your team are available.	Kein „melden Sie sich gern", sondern zwei konkrete Zeiten, zu denen das Fahrzeug und jemand aus Ihrem Team verfügbar sind.	Nada de «no dudes en contactarnos», sino dos huecos concretos en los que el vehículo y alguien de tu equipo están disponibles.
Geen beloftes die je niet waarmaakt	Pas de promesses que vous ne tenez pas	No promises you do not keep	Keine Versprechen, die Sie nicht halten	Sin promesas que no cumples
Geen chatbot op je website. Het systeem dat je aanvragen omzet in afspraken.	Pas un chatbot sur votre site. Le système qui transforme vos demandes en rendez-vous.	Not a chatbot on your website. The system that turns your enquiries into appointments.	Kein Chatbot auf Ihrer Website. Das System, das Ihre Anfragen in Termine verwandelt.	No un chatbot en tu web. El sistema que convierte tus solicitudes en citas.
Geen dubbele reserveringen	Pas de doubles réservations	No double bookings	Keine Doppelbuchungen	Sin reservas duplicadas
Geen inruilbedrag	Pas de montant de reprise	No trade-in figure	Kein Inzahlungnahmebetrag	Sin importe de tasación
Geen prijsafspraken	Pas de négociation de prix	No price deals	Keine Preisabsprachen	Sin acuerdos de precio
Geen schatting op de parking	Pas d'estimation sur le parking	No estimate on the forecourt	Keine Schätzung auf dem Hof	Sin tasación en el aparcamiento
Geen telefoon	Pas de téléphone	No phone	Kein Telefon	Sin teléfono
Geen van deze vijf gaat over te weinig belangstelling. Ze gaan allemaal over kopers die je al had.	Aucun de ces cinq points ne concerne un manque d'intérêt. Tous concernent des acheteurs que vous aviez déjà.	None of these five is about too little interest. They are all about buyers you already had.	Keiner dieser fünf Punkte handelt von zu wenig Interesse. Alle handeln von Käufern, die Sie schon hatten.	Ninguno de estos cinco va de falta de interés. Todos van de compradores que ya tenías.
Geen vervanging van je verkopers	Pas un remplacement de vos vendeurs	No replacement for your salespeople	Kein Ersatz für Ihre Verkäufer	No sustituye a tus vendedores
