# nederlands	frans	engels	duits	spaans
E-mail is geen tweederangs kanaal maar de plek waar de uitgebreidste aanvragen binnenkomen. Het krijgt daarom dezelfde behandeling als de rest.	Le courriel n'est pas un canal de seconde zone, c'est là qu'arrivent les demandes les plus détaillées. Il reçoit donc le même traitement que le reste.	Email is not a second-rate channel but the place where the most detailed enquiries arrive. So it gets the same treatment as the rest.	E-Mail ist kein Kanal zweiter Klasse, sondern der Ort, an dem die ausführlichsten Anfragen eingehen. Deshalb bekommt sie dieselbe Behandlung wie der Rest.	El correo no es un canal de segunda, es donde llegan las solicitudes más detalladas. Por eso recibe el mismo trato que el resto.
E-mail · 20:15	Courriel · 20:15	Email · 20:15	E-Mail · 20:15	Correo · 20:15
E-mail · donderdag 08:30	Courriel · jeudi 08:30	Email · Thursday 08:30	E-Mail · Donnerstag 08:30	Correo · jueves 08:30
Een Audi A4 uit 2018, diesel.	Une Audi A4 de 2018, diesel.	A 2018 Audi A4, diesel.	Ein Audi A4 von 2018, Diesel.	Un Audi A4 de 2018, diésel.
Een aanvraag van 21:43 die om 09:15 beantwoord wordt, is meestal al weg.	Une demande de 21:43 traitée à 09:15 est généralement déjà partie.	An enquiry from 21:43 answered at 09:15 is usually already gone.	Eine Anfrage von 21:43, die um 09:15 beantwortet wird, ist meist schon weg.	Una solicitud de las 21:43 respondida a las 09:15 normalmente ya se ha ido.
Een aanvraag van vannacht	Une demande de cette nuit	An enquiry from last night	Eine Anfrage von heute Nacht	Una solicitud de esta noche
Een agenda die we mogen lezen, of je regelt afspraken zelf	Un agenda que nous pouvons lire, ou vous gérez les rendez-vous vous-même	A calendar we may read, or you arrange appointments yourself	Ein Kalender, den wir lesen dürfen, oder Sie machen Termine selbst	Una agenda que podamos leer, o gestionas tú las citas
Een algemene assistent stelt algemene vragen. Dit weet dat xDrive iets anders is dan quattro en dat 140.000 kilometer op een diesel anders ligt dan op een benzine.	Un assistant généraliste pose des questions générales. Celui-ci sait que xDrive n'est pas quattro et que 140 000 kilomètres sur un diesel ne se lisent pas comme sur une essence.	A general assistant asks general questions. This one knows xDrive is not quattro and that 140,000 kilometres on a diesel reads differently from a petrol.	Ein allgemeiner Assistent stellt allgemeine Fragen. Dieser weiß, dass xDrive nicht quattro ist und dass 140.000 Kilometer bei einem Diesel anders zu lesen sind als bei einem Benziner.	Un asistente genérico hace preguntas genéricas. Este sabe que xDrive no es quattro y que 140.000 kilómetros en un diésel no se leen igual que en un gasolina.
Een appje wordt gelezen. Een voicemail en een mail vaak niet.	Un message se lit. Un répondeur et un courriel, souvent pas.	A message gets read. A voicemail and an email often do not.	Eine Nachricht wird gelesen. Eine Mailbox und eine Mail oft nicht.	Un mensaje se lee. Un buzón de voz y un correo, a menudo no.
Een autobedrijf heeft geen één kanaal. Er komt een formulier van je site binnen, een WhatsApp van een advertentie en een mail in de algemene mailbox. Bij Helvaro komen die drie samen in één stroom, met één geschiedenis per koper.	Une concession n'a pas un seul canal. Il arrive un formulaire de votre site, un WhatsApp venu d'une annonce et un courriel dans la boîte générale. Chez Helvaro, ces trois-là se rejoignent dans un seul flux, avec un seul historique par acheteur.	A dealership does not have one channel. A form comes in from your site, a WhatsApp from an advert and an email into the general mailbox. At Helvaro those three come together in one flow, with one history per buyer.	Ein Autohaus hat nicht einen Kanal. Es kommt ein Formular von Ihrer Website, ein WhatsApp aus einer Anzeige und eine Mail ins allgemeine Postfach. Bei Helvaro laufen diese drei in einem Strom zusammen, mit einer Historie je Käufer.	Un concesionario no tiene un solo canal. Entra un formulario de tu web, un WhatsApp desde un anuncio y un correo en el buzón general. En Helvaro esos tres se juntan en un solo flujo, con un historial por comprador.
Een bericht de dag ervoor. Wie niet kan, krijgt meteen twee alternatieven in plaats van een lege plek in je agenda.	Un message la veille. Celui qui ne peut pas reçoit aussitôt deux alternatives au lieu de laisser un trou dans votre agenda.	A message the day before. Anyone who cannot make it gets two alternatives straight away instead of leaving a hole in your calendar.	Eine Nachricht am Vortag. Wer nicht kann, bekommt sofort zwei Alternativen statt einer Lücke in Ihrem Kalender.	Un mensaje el día antes. Quien no puede recibe al momento dos alternativas en lugar de dejar un hueco en tu agenda.
Een bezichtiging of proefrit is pas iets waard als je verkoper er die ochtend op kan rekenen. Daarom gaat elke afspraak naar de agenda waar je team toch al in kijkt.	Une visite ou un essai n'a de valeur que si votre vendeur peut compter dessus le matin même. C'est pourquoi chaque rendez-vous part dans l'agenda que votre équipe consulte déjà.	A viewing or test drive is only worth something if your salesperson can count on it that morning. That is why every appointment goes into the calendar your team already looks at.	Eine Besichtigung oder Probefahrt ist erst etwas wert, wenn Ihr Verkäufer am Morgen damit rechnen kann. Darum geht jeder Termin in den Kalender, in den Ihr Team ohnehin schaut.	Una visita o una prueba solo vale algo si tu vendedor puede contar con ella esa mañana. Por eso cada cita va a la agenda que tu equipo ya mira.
Een bezoeker die alleen rondkijkt, wordt niet gedwongen zijn gegevens af te geven.	Un visiteur qui ne fait que regarder n'est pas obligé de laisser ses coordonnées.	A visitor who is only browsing is not forced to hand over their details.	Ein Besucher, der sich nur umsieht, muss seine Daten nicht hergeben.	A un visitante que solo mira no se le obliga a dejar sus datos.
Een boze of juridische mail gaat meteen naar een mens.	Un courriel agressif ou juridique part directement vers un humain.	An angry or legal email goes straight to a person.	Eine wütende oder juristische Mail geht sofort an einen Menschen.	Un correo enfadado o de tipo legal va directo a una persona.
Een chatbot kent je openingsuren. Dit kent je voorraad: welke wagen, welke uitvoering, welke kilometerstand, welke prijs.	Un chatbot connaît vos heures d'ouverture. Celui-ci connaît votre stock : quel véhicule, quelle finition, quel kilométrage, quel prix.	A chatbot knows your opening hours. This knows your stock: which vehicle, which trim, which mileage, which price.	Ein Chatbot kennt Ihre Öffnungszeiten. Dieser kennt Ihren Bestand: welches Fahrzeug, welche Ausstattung, welcher Kilometerstand, welcher Preis.	Un chatbot conoce tu horario. Este conoce tu stock: qué vehículo, qué acabado, qué kilometraje, qué precio.
Een collega kan niet overnemen, want hij ziet het gesprek niet.	Un collègue ne peut pas prendre le relais, car il ne voit pas la conversation.	A colleague cannot take over, because they cannot see the conversation.	Ein Kollege kann nicht übernehmen, denn er sieht das Gespräch nicht.	Un compañero no puede tomar el relevo, porque no ve la conversación.
Een concreet voorstel om te komen kijken of rijden. Ja wordt daarmee makkelijker dan nog een keer uitstellen.	Une proposition concrète de venir voir ou essayer. Dire oui devient ainsi plus facile que de reporter encore.	A concrete proposal to come and look or drive. That makes yes easier than postponing once more.	Ein konkreter Vorschlag zum Anschauen oder Fahren. Ja wird damit leichter als noch einmal aufschieben.	Una propuesta concreta para venir a ver o a probar. Así decir que sí es más fácil que volver a aplazarlo.
Een correctie die je één keer maakt, geldt daarna voor elke werkstroom. Je legt niet twee keer hetzelfde uit.	Une correction faite une fois vaut ensuite pour chaque flux. Vous n'expliquez pas deux fois la même chose.	A correction you make once then applies to every workflow. You do not explain the same thing twice.	Eine Korrektur, die Sie einmal machen, gilt danach für jeden Ablauf. Sie erklären nicht zweimal dasselbe.	Una corrección que haces una vez vale después para todos los flujos. No explicas lo mismo dos veces.
Een deal die klaar leek, strandt op een bedrag dat niemand had voorbereid.	Une affaire qui semblait faite échoue sur un montant que personne n'avait préparé.	A deal that looked done runs aground on a figure nobody had prepared.	Ein Geschäft, das fertig schien, scheitert an einem Betrag, den niemand vorbereitet hatte.	Un trato que parecía cerrado encalla en un importe que nadie había preparado.
Een deel van je bezoekers zoekt op eisen in plaats van op een model: automaat, ongeveer dertigduizend, niet te veel kilometers. Die vraag beantwoorden kost je verkoper tien minuten zoeken, en gebeurt daarom vaak niet.	Une partie de vos visiteurs cherche par critères plutôt que par modèle : boîte automatique, environ trente mille, pas trop de kilomètres. Répondre à cette question coûte dix minutes de recherche à votre vendeur, et cela ne se fait donc souvent pas.	Some of your visitors search by requirements rather than by model: automatic, around thirty thousand, not too many kilometres. Answering that question costs your salesperson ten minutes of searching, so it often does not happen.	Ein Teil Ihrer Besucher sucht nach Anforderungen statt nach einem Modell: Automatik, etwa dreißigtausend, nicht zu viele Kilometer. Diese Frage zu beantworten kostet Ihren Verkäufer zehn Minuten Suche, und darum passiert es oft nicht.	Parte de tus visitantes busca por requisitos en lugar de por modelo: automático, unos treinta mil, no demasiados kilómetros. Responder a esa pregunta le cuesta a tu vendedor diez minutos de búsqueda, así que a menudo no se hace.
Een donderdag	Un jeudi	A Thursday	Ein Donnerstag	Un jueves
Een dossier aanmaken	Créer un dossier	Creating a file	Eine Akte anlegen	Crear un expediente
Een e-mailadres of een telefoonnummer is genoeg. Niet allebei.	Une adresse e-mail ou un numéro de téléphone suffit. Pas les deux.	An email address or a phone number is enough. Not both.	Eine E-Mail-Adresse oder eine Telefonnummer reicht. Nicht beides.	Un correo o un teléfono es suficiente. No los dos.
Een gesprek dat eindigt met "bel ons even" heeft niets opgelost, het heeft het werk naar de koper verplaatst. Helvaro stelt een moment voor, zet het vast, bevestigt het en herinnert eraan. Blijft het stil, dan komt er nog een bericht, en daarna nog één, en daarna stopt het.	Une conversation qui se termine par « appelez-nous » n'a rien résolu, elle a déplacé le travail vers l'acheteur. Helvaro propose un créneau, le fixe, le confirme et le rappelle. Si le silence persiste, un message suit, puis un autre, et ensuite cela s'arrête.	A conversation that ends with "give us a call" has solved nothing, it has moved the work to the buyer. Helvaro proposes a slot, pins it down, confirms it and reminds about it. If it stays quiet, another message follows, then one more, and then it stops.	Ein Gespräch, das mit „rufen Sie uns an" endet, hat nichts gelöst, es hat die Arbeit zum Käufer verschoben. Helvaro schlägt einen Termin vor, macht ihn fest, bestätigt und erinnert daran. Bleibt es still, folgt noch eine Nachricht, dann noch eine, und danach hört es auf.	Una conversación que acaba con «llámanos» no ha resuelto nada, ha trasladado el trabajo al comprador. Helvaro propone un hueco, lo fija, lo confirma y lo recuerda. Si sigue el silencio, llega otro mensaje, y luego uno más, y después para.
